id,filename,is_watertight,is_manifold,num_vertices,num_faces,bounds_min_x,bounds_min_y,bounds_min_z,bounds_max_x,bounds_max_y,bounds_max_z,extent_x,extent_y,extent_z,winding_consistent,repair_status,volume,status
F_S_WWC_WM_001,F_S_WWC_WM_001.stl,False,False,4511340,1503780,-0.7211416959762573,-1.0099717378616333,1.5676021575927734e-05,4.024122714996338,1.0099717378616333,1.415225625038147,4.745264410972595,2.0199434757232666,1.415209949016571,True,none,0.0,success
F_S_WWC_WM_002,F_S_WWC_WM_002.stl,False,False,4511340,1503780,-0.7200225591659546,-1.0216902494430542,1.5676021575927734e-05,3.9233927726745605,1.0216902494430542,1.4276233911514282,4.643415331840515,2.0433804988861084,1.4276077151298523,True,none,0.0,success
F_S_WWC_WM_003,F_S_WWC_WM_003.stl,False,False,4511340,1503780,-0.9565151929855347,-1.0187945365905762,1.5676021575927734e-05,4.050344944000244,1.0187945365905762,1.432233214378357,5.006860136985779,2.0375890731811523,1.432217538356781,True,none,0.0,success
F_S_WWC_WM_005,F_S_WWC_WM_005.stl,False,False,4511340,1503780,-0.8144099116325378,-1.1454156637191772,1.5676021575927734e-05,3.885568141937256,1.1454156637191772,1.3563287258148193,4.699978053569794,2.2908313274383545,1.3563130497932434,True,none,0.0,success
F_S_WWC_WM_009,F_S_WWC_WM_009.stl,False,False,4511340,1503780,-0.7873970866203308,-1.1345345973968506,1.5676021575927734e-05,3.8601648807525635,1.1345345973968506,1.4096816778182983,4.647561967372894,2.269069194793701,1.4096660017967224,True,none,0.0,success
F_S_WWC_WM_013,F_S_WWC_WM_013.stl,False,False,4511340,1503780,-1.0063283443450928,-1.1461938619613647,1.5676021575927734e-05,3.9041924476623535,1.1461938619613647,1.3724459409713745,4.910520792007446,2.2923877239227295,1.3724302649497986,True,none,0.0,success
F_S_WWC_WM_023,F_S_WWC_WM_023.stl,False,False,4511340,1503780,-1.0187894105911255,-1.0890460014343262,1.5676021575927734e-05,3.6459109783172607,1.0890460014343262,1.4019880294799805,4.664700388908386,2.1780920028686523,1.4019723534584045,True,none,0.0,success
F_S_WWC_WM_027,F_S_WWC_WM_027.stl,False,False,4511340,1503780,-0.8242753744125366,-1.0588715076446533,1.5676021575927734e-05,3.6951162815093994,1.0588715076446533,1.3453214168548584,4.519391655921936,2.1177430152893066,1.3453057408332825,True,none,0.0,success
F_S_WWC_WM_045,F_S_WWC_WM_045.stl,False,False,4511340,1503780,-0.7753444314002991,-1.0097837448120117,1.5676021575927734e-05,3.651703119277954,1.0097837448120117,1.4156180620193481,4.427047550678253,2.0195674896240234,1.4156023859977722,True,none,0.0,success
F_S_WWC_WM_048,F_S_WWC_WM_048.stl,False,False,4511340,1503780,-0.9535945653915405,-1.0059401988983154,1.5676021575927734e-05,3.9777486324310303,1.0059401988983154,1.428137183189392,4.931343197822571,2.011880397796631,1.4281215071678162,True,none,0.0,success
F_S_WWC_WM_067,F_S_WWC_WM_067.stl,False,False,4511340,1503780,-0.9407592415809631,-1.132354736328125,1.5676021575927734e-05,4.060458660125732,1.132354736328125,1.4197912216186523,5.001217901706696,2.26470947265625,1.4197755455970764,True,none,0.0,success
F_S_WWC_WM_073,F_S_WWC_WM_073.stl,False,False,4511340,1503780,-0.7544586658477783,-1.0788005590438843,1.5676021575927734e-05,3.9829814434051514,1.0788005590438843,1.4386881589889526,4.73744010925293,2.1576011180877686,1.4386724829673767,True,none,0.0,success
F_S_WWC_WM_075,F_S_WWC_WM_075.stl,False,False,4511340,1503780,-0.9929438829421997,-0.9926697015762329,1.5676021575927734e-05,3.6514360904693604,0.9926697015762329,1.4443832635879517,4.64437997341156,1.9853394031524658,1.4443675875663757,True,none,0.0,success
F_S_WWC_WM_076,F_S_WWC_WM_076.stl,False,False,4511340,1503780,-0.7966537475585938,-1.131055235862732,1.5676021575927734e-05,4.049734592437744,1.131055235862732,1.3706738948822021,4.846388339996338,2.262110471725464,1.3706582188606262,True,none,0.0,success
F_S_WWC_WM_082,F_S_WWC_WM_082.stl,False,False,4511340,1503780,-0.9967602491378784,-1.0612103939056396,1.5676021575927734e-05,3.92682147026062,1.0612103939056396,1.3271825313568115,4.9235817193984985,2.1224207878112793,1.3271668553352356,True,none,0.0,success
F_S_WWC_WM_089,F_S_WWC_WM_089.stl,False,False,4511340,1503780,-0.9162397384643555,-1.0553900003433228,1.5676021575927734e-05,3.7336490154266357,1.0553900003433228,1.4148712158203125,4.649888753890991,2.1107800006866455,1.4148555397987366,True,none,0.0,success
F_S_WWC_WM_091,F_S_WWC_WM_091.stl,False,False,4511340,1503780,-0.7366944551467896,-0.9646956920623779,1.5676021575927734e-05,3.70638370513916,0.9646956920623779,1.4195448160171509,4.44307816028595,1.9293913841247559,1.419529139995575,True,none,0.0,success
F_S_WWC_WM_096,F_S_WWC_WM_096.stl,False,False,4511340,1503780,-1.0334446430206299,-0.9816568493843079,1.5676021575927734e-05,3.7787587642669678,0.9816568493843079,1.424173355102539,4.812203407287598,1.9633136987686157,1.4241576790809631,True,none,0.0,success
F_S_WWC_WM_100,F_S_WWC_WM_100.stl,False,False,4511340,1503780,-0.8900262713432312,-0.9656171202659607,1.5676021575927734e-05,4.003520965576172,0.9656171202659607,1.3470172882080078,4.893547236919403,1.9312342405319214,1.3470016121864319,True,none,0.0,success
F_S_WWC_WM_101,F_S_WWC_WM_101.stl,False,False,4511340,1503780,-0.9222047924995422,-1.0307660102844238,1.5676021575927734e-05,3.7077994346618652,1.0307660102844238,1.4491117000579834,4.6300042271614075,2.0615320205688477,1.4490960240364075,True,none,0.0,success
F_S_WWC_WM_111,F_S_WWC_WM_111.stl,False,False,4511340,1503780,-0.905559778213501,-1.036442518234253,1.5676021575927734e-05,3.9247078895568848,1.036442518234253,1.4539495706558228,4.830267667770386,2.072885036468506,1.4539338946342468,True,none,0.0,success
F_S_WWC_WM_113,F_S_WWC_WM_113.stl,False,False,4511340,1503780,-0.8100916147232056,-1.112065315246582,1.5676021575927734e-05,3.6655664443969727,1.112065315246582,1.335266351699829,4.475658059120178,2.224130630493164,1.3352506756782532,True,none,0.0,success
F_S_WWC_WM_116,F_S_WWC_WM_116.stl,False,False,4511340,1503780,-0.9504028558731079,-0.990953803062439,1.5676021575927734e-05,3.781097173690796,0.990953803062439,1.4051368236541748,4.731500029563904,1.981907606124878,1.4051211476325989,True,none,0.0,success
F_S_WWC_WM_145,F_S_WWC_WM_145.stl,False,False,4511340,1503780,-0.9999110102653503,-1.0922629833221436,1.5676021575927734e-05,3.8747639656066895,1.0922629833221436,1.3670005798339844,4.87467497587204,2.184525966644287,1.3669849038124084,True,none,0.0,success
